Model,Feature Set,ROC-AUC,PR-AUC,F1,Balanced Accuracy
XGBoost,Full (88),0.9594298245614036,0.9937361482320551,0.954248366013072,0.8135964912280702
XGBoost,Top-20 (SHAP),0.9451754385964912,0.9909821582251185,0.954248366013072,0.8135964912280702
